,0,1,2,3,4,5,6
0,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
1,101,12,6.6,53,52.55,14.75,
2,112,16,10.0,47,65.09,18.28,
3,52,8,4.4,23,20.68,5.81,
4,129,20,10.8,45,120.68,33.88,
5,73,11,4.0,55,19.52,5.48,
6,174,9,5.8,102,42.34,11.88,
7,58,3,2.4,50,14.93,4.19,
8,2,1,0.4,2,0.13,0.04,
9,61,7,5.6,20,40.53,11.38,
10,112,10,7.2,59,77.96,21.89,
11,118,6,5.2,75,45.31,12.72,
12,60,6,4.4,35,21.01,5.9,
13,61,5,3.8,41,15.84,4.44,
14,44,3,2.2,38,11.83,3.32,
15,63,8,4.8,34,21.33,5.99,
16,3,1,0.6,3,0.65,0.18,
17,34,6,3.2,21,33.68,9.46,
18,103,9,5.0,57,53.46,15.01,
19,41,2,2.0,35,14.48,4.06,
20,112,10,7.2,58,78.6,22.07,
21,34,6,3.2,21,33.68,9.46,
